# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 109
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 16:47:40 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 s260520039Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (12,2)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,11)
2 null null
3 (15,14) (13,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,1) (13,2)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (12,2) (13,3)
2 (0,11) (1,10)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 null null
0 (3,0) (3,2)
0 null null
1 (14,3) (14,1)
1 (14,1) (14,3)
1 null null
2 (0,13) (2,11)
2 null null
3 (15,12) (14,11)
0 (0,2) (0,0)
0 null null
1 (13,2) (12,2)
2 (1,12) (0,13)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (15,12)
3 (15,12) (15,14)
3 null null
0 (4,4) (5,3)
1 (13,3) (14,4)
2 (0,15) (2,13)
2 null null
3 (12,15) (11,15)
0 (1,3) (0,3)
1 (14,2) (13,2)
2 (3,14) (3,13)
3 (13,14) (12,14)
0 (2,0) (4,2)
0 (4,2) (2,2)
0 (2,2) (2,0)
0 (2,0) (4,2)
0 null null
1 (13,1) (14,1)
2 (0,13) (1,12)
3 (12,13) (11,13)
0 (4,2) (2,2)
0 (2,2) (0,2)
0 null null
1 (13,2) (15,4)
1 (15,4) (13,4)
1 (13,4) (15,4)
1 null null
2 (2,11) (3,11)
3 (14,12) (13,12)
0 (0,2) (2,0)
0 null null
1 (13,0) (13,1)
2 (2,13) (2,12)
3 (13,13) (13,14)
0 (2,0) (0,2)
0 (0,2) (2,2)
0 (2,2) (4,0)
0 null null
1 (14,3) (13,3)
2 (3,13) (1,11)
2 (1,11) (3,13)
2 (3,13) (5,15)
2 null null
3 (11,15) (11,14)
0 (3,2) (4,1)
1 (14,1) (13,0)
2 (1,12) (2,11)
3 (14,13) (15,12)
0 (1,1) (1,3)
0 null null
1 (15,2) (14,3)
2 (0,14) (0,15)
3 (12,14) (12,13)
0 (0,0) (0,2)
0 (0,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (2,0)
0 (2,0) (0,0)
0 (0,0) (0,2)
0 (0,2) (0,4)
0 null null
1 (12,2) (12,3)
2 (3,11) (4,10)
3 (14,11) (15,11)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (12,3) (11,4)
2 (1,13) (0,14)
3 (11,13) (10,12)
0 (3,1) (1,1)
0 null null
1 (15,1) (14,2)
2 (0,12) (1,12)
3 (15,12) (14,11)
0 (1,1) (2,2)
1 (13,3) (13,4)
2 (2,12) (3,13)
3 (13,14) (12,15)
0 (1,3) (2,4)
1 (15,4) (13,2)
1 null null
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (4,13)
2 (4,13) (4,15)
2 (4,15) (6,15)
2 null null
3 (12,13) (13,13)
0 (4,0) (4,2)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,3)
1 null null
2 (1,12) (0,11)
3 (13,15) (11,15)
3 null null
0 (3,3) (1,1)
0 (1,1) (1,3)
0 (1,3) (3,5)
0 (3,5) (3,3)
0 (3,3) (1,1)
0 null null
1 (13,2) (14,3)
2 (4,10) (4,11)
3 (12,15) (12,14)
0 (4,5) (5,5)
1 (14,4) (15,4)
2 (1,15) (2,15)
3 (15,11) (14,12)
0 (2,4) (4,4)
0 (4,4) (6,6)
0 null null
1 (15,0) (15,1)
2 (1,10) (0,10)
3 (13,13) (14,13)
0 (4,1) (3,2)
1 (11,4) (12,4)
2 (2,11) (1,10)
3 (14,14) (13,15)
0 (2,1) (2,3)
0 (2,3) (4,1)
0 null null
1 (14,2) (13,3)
2 (3,13) (2,13)
3 (14,11) (13,10)
0 (0,4) (1,4)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,2)
1 (12,2) (14,0)
1 null null
2 (2,14) (3,13)
3 (10,12) (9,11)
0 (0,3) (2,1)
0 (2,1) (4,3)
0 null null
1 (13,4) (12,5)
2 (0,15) (0,13)
2 (0,13) (0,15)
2 (0,15) (0,13)
2 null null
3 (12,14) (12,13)
0 (0,1) (2,1)
0 (2,1) (0,3)
0 null null
1 (15,4) (15,5)
2 (6,15) (4,15)
2 null null
3 (13,15) (12,15)
0 (3,4) (4,5)
1 (12,5) (12,3)
1 null null
2 (1,10) (1,9)
3 (9,11) (10,12)
0 (3,2) (5,0)
0 null null
1 (13,1) (12,2)
2 (4,15) (3,14)
3 (14,13) (14,11)
3 null null
0 (5,5) (4,4)
1 (10,3) (9,2)
2 (0,10) (1,10)
3 (10,12) (10,11)
0 (1,1) (3,3)
0 null null
1 (9,2) (10,1)
2 (4,14) (4,15)
3 (12,13) (13,13)
0 (0,3) (2,1)
