# Server version 0.08 running on 142.157.113.143:8123
# Game ID: 206
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 16:41:48 EDT 2014
# Player 1: Player-0, 'random', running on 142.157.113.143
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'random', running on 142.157.113.143
# Player 4: Player-3, 'random', running on 142.157.113.143
START Player-0 random
START Player-1 s260520039Player
START Player-2 random
START Player-3 random
0 (1,3) (2,3)
1 (13,2) (12,3)
2 (1,13) (1,11)
2 (1,11) (1,13)
2 null null
3 (15,12) (13,12)
3 null null
0 (3,0) (4,0)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (1,13) (1,11)
2 (1,11) (1,13)
2 (1,13) (3,13)
2 null null
3 (14,13) (14,11)
3 null null
0 (0,2) (1,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (1,11)
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,11)
3 null null
0 (2,3) (3,2)
1 (12,1) (12,2)
2 (2,13) (2,12)
3 (14,12) (12,12)
3 null null
0 (3,1) (4,1)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (2,12) (0,10)
2 null null
3 (12,12) (11,11)
0 (4,1) (4,2)
1 (15,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (0,10) (0,11)
3 (13,12) (15,10)
3 null null
0 (3,2) (4,1)
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,4)
1 null null
2 (3,15) (4,15)
3 (13,14) (11,14)
3 null null
0 (4,2) (5,1)
GAMEOVER DISCONNECTION Player-1
WINNER Player-0
# Game ended: Tue Apr 08 16:41:53 EDT 2014
