LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
|('exit_donald', 'entry_minny')|,100,True,0.0,0.14726027397260275,1
|('exit_donald', 'entry_minny')|,100,True,1.0,0.35557763942198228,8
|('exit_donald', 'entry_minny')|,100,True,2.0,0.85931802074106356,29
|('exit_donald', 'entry_minny')|,100,True,3.0,0.31126214003986596,3
|('exit_donald', 'entry_minny')|,100,True,4.0,0.15410958904109587,1
|('exit_donald', 'entry_minny')|,500,True,2.0,1.0,2
|('exit_donald', 'entry_minny')|,1000,True,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,2000,True,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,3000,True,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,4000,True,0.0,0.0,0.0
|('exit_donald', 'entry_minny')|,5000,True,0.0,0.0,0.0
|('entry_minny', 'exit_daisy')|,100,True,2.0,0.19639951671365286,2
|('entry_minny', 'exit_daisy')|,100,True,3.0,0.27920334990262552,3
|('entry_minny', 'exit_daisy')|,100,True,4.0,0.91454011970657878,25
|('entry_minny', 'exit_daisy')|,100,True,5.0,0.2589523849898609,3
|('entry_minny', 'exit_daisy')|,100,True,6.0,0.12923076923076926,1
|('entry_minny', 'exit_daisy')|,500,True,4.0,1.0,4
|('entry_minny', 'exit_daisy')|,1000,False,0.0,0.0,0.0
|('entry_minny', 'exit_daisy')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'exit_daisy')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'exit_daisy')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'exit_daisy')|,5000,False,0.0,0.0,0.0
|('exit_donald', 'exit_donald')|,100,True,0.0,0.5,1
|('exit_donald', 'exit_donald')|,100,True,1.0,0.55797101449275355,3
|('exit_donald', 'exit_donald')|,100,True,2.0,1.0,1
|('exit_donald', 'exit_donald')|,100,True,3.0,0.2608695652173913,1
|('exit_donald', 'exit_donald')|,100,True,4.0,0.5,1
|('exit_donald', 'exit_donald')|,100,True,6.0,0.5,1
|('exit_donald', 'exit_donald')|,100,True,8.0,0.17391304347826086,1
|('exit_donald', 'exit_donald')|,100,True,10.0,0.17391304347826086,1
|('exit_donald', 'exit_donald')|,100,True,11.0,0.35869565217391308,2
|('exit_donald', 'exit_donald')|,100,True,13.0,0.5,1
|('exit_donald', 'exit_donald')|,500,True,0.0,0.30769230769230765,1
|('exit_donald', 'exit_donald')|,500,True,1.0,0.59373885918003566,8
|('exit_donald', 'exit_donald')|,500,True,2.0,0.1452214452214452,3
|('exit_donald', 'exit_donald')|,500,True,3.0,0.21626521626521625,3
|('exit_donald', 'exit_donald')|,500,True,4.0,0.24469696969696969,4
|('exit_donald', 'exit_donald')|,500,True,5.0,0.67647058823529416,2
|('exit_donald', 'exit_donald')|,500,True,6.0,0.78571428571428581,2
|('exit_donald', 'exit_donald')|,500,True,7.0,0.50277777777777777,4
|('exit_donald', 'exit_donald')|,500,True,9.0,0.10000000000000001,1
|('exit_donald', 'exit_donald')|,500,True,10.0,0.22727272727272727,2
|('exit_donald', 'exit_donald')|,500,True,11.0,0.22032428355957767,4
|('exit_donald', 'exit_donald')|,500,True,12.0,0.57777777777777783,3
|('exit_donald', 'exit_donald')|,500,True,13.0,0.20629370629370627,2
|('exit_donald', 'exit_donald')|,500,True,14.0,0.56547619047619047,4
|('exit_donald', 'exit_donald')|,500,True,15.0,0.10000000000000001,1
|('exit_donald', 'exit_donald')|,1000,True,0.0,0.75,2
|('exit_donald', 'exit_donald')|,1000,True,1.0,0.81414141414141417,15
|('exit_donald', 'exit_donald')|,1000,True,2.0,0.47727272727272729,2
|('exit_donald', 'exit_donald')|,1000,True,3.0,0.33333333333333337,1
|('exit_donald', 'exit_donald')|,1000,True,4.0,0.25,1
|('exit_donald', 'exit_donald')|,1000,True,5.0,0.5,1
|('exit_donald', 'exit_donald')|,1000,True,8.0,0.3611111111111111,3
|('exit_donald', 'exit_donald')|,1000,True,9.0,0.66666666666666674,2
|('exit_donald', 'exit_donald')|,1000,True,10.0,1.0,1
|('exit_donald', 'exit_donald')|,1000,True,11.0,0.33333333333333331,1
|('exit_donald', 'exit_donald')|,1000,True,12.0,0.41666666666666663,2
|('exit_donald', 'exit_donald')|,1000,True,13.0,0.66666666666666663,2
|('exit_donald', 'exit_donald')|,1000,True,14.0,0.33333333333333331,1
|('exit_donald', 'exit_donald')|,2000,True,0.0,0.47058823529411764,1
|('exit_donald', 'exit_donald')|,2000,True,1.0,0.76437584603219255,14
|('exit_donald', 'exit_donald')|,2000,True,2.0,0.22727272727272727,1
|('exit_donald', 'exit_donald')|,2000,True,4.0,0.26315789473684209,1
|('exit_donald', 'exit_donald')|,2000,True,6.0,0.42424242424242425,3
|('exit_donald', 'exit_donald')|,2000,True,7.0,0.62777777777777777,3
|('exit_donald', 'exit_donald')|,2000,True,8.0,1.0,1
|('exit_donald', 'exit_donald')|,2000,True,9.0,0.71052631578947367,2
|('exit_donald', 'exit_donald')|,2000,True,11.0,0.22727272727272727,1
|('exit_donald', 'exit_donald')|,2000,True,13.0,0.53333333333333333,1
|('exit_donald', 'exit_donald')|,3000,True,1.0,0.76252723311546844,9
|('exit_donald', 'exit_donald')|,3000,True,2.0,1.0,1
|('exit_donald', 'exit_donald')|,3000,True,3.0,0.40196078431372545,2
|('exit_donald', 'exit_donald')|,3000,True,7.0,1.0,1
|('exit_donald', 'exit_donald')|,3000,True,9.0,0.49999999999999994,2
|('exit_donald', 'exit_donald')|,3000,True,11.0,1.0,1
|('exit_donald', 'exit_donald')|,3000,True,15.0,0.33333333333333331,1
|('exit_donald', 'exit_donald')|,4000,True,8.0,1.0,1
|('exit_donald', 'exit_donald')|,4000,True,1.0,0.96078431372549011,12
|('exit_donald', 'exit_donald')|,4000,True,6.0,0.4705882352941177,1
|('exit_donald', 'exit_donald')|,5000,True,0.0,0.5,1
|('exit_donald', 'exit_donald')|,5000,True,1.0,0.89766081871345038,9
|('exit_donald', 'exit_donald')|,5000,True,15.0,0.4210526315789474,1
|('entry_minny', 'entry_minny')|,100,True,1.0,0.31527093596059114,2
|('entry_minny', 'entry_minny')|,100,True,2.0,0.30344827586206896,2
|('entry_minny', 'entry_minny')|,100,True,3.0,0.22068965517241379,2
|('entry_minny', 'entry_minny')|,100,True,4.0,0.48029556650246302,4
|('entry_minny', 'entry_minny')|,100,True,5.0,0.2857142857142857,1
|('entry_minny', 'entry_minny')|,100,True,6.0,0.24285714285714288,2
|('entry_minny', 'entry_minny')|,100,True,8.0,1.0,1
|('entry_minny', 'entry_minny')|,100,True,9.0,0.32857142857142857,3
|('entry_minny', 'entry_minny')|,100,True,10.0,1.0,1
|('entry_minny', 'entry_minny')|,100,True,12.0,0.64285714285714279,1
|('entry_minny', 'entry_minny')|,100,True,14.0,0.5,1
|('entry_minny', 'entry_minny')|,100,True,15.0,0.5,1
|('entry_minny', 'entry_minny')|,500,True,0.0,0.61538461538461542,2
|('entry_minny', 'entry_minny')|,500,True,1.0,0.7615384615384615,5
|('entry_minny', 'entry_minny')|,500,True,2.0,0.66666666666666663,2
|('entry_minny', 'entry_minny')|,500,True,3.0,0.70961538461538454,4
|('entry_minny', 'entry_minny')|,500,True,4.0,0.68269230769230771,4
|('entry_minny', 'entry_minny')|,500,True,6.0,0.54999999999999993,2
|('entry_minny', 'entry_minny')|,500,True,7.0,0.44047619047619047,4
|('entry_minny', 'entry_minny')|,500,True,8.0,0.40109890109890112,2
|('entry_minny', 'entry_minny')|,500,True,9.0,0.38076923076923075,2
|('entry_minny', 'entry_minny')|,500,True,10.0,0.3666666666666667,2
|('entry_minny', 'entry_minny')|,500,True,11.0,0.19999999999999998,1
|('entry_minny', 'entry_minny')|,500,True,12.0,0.19999999999999998,1
|('entry_minny', 'entry_minny')|,500,True,14.0,0.5,1
|('entry_minny', 'entry_minny')|,500,True,15.0,1.0,1
|('entry_minny', 'entry_minny')|,1000,True,1.0,0.6014960348293682,9
|('entry_minny', 'entry_minny')|,1000,True,2.0,0.36269841269841269,4
|('entry_minny', 'entry_minny')|,1000,True,3.0,0.36538461538461542,2
|('entry_minny', 'entry_minny')|,1000,True,4.0,0.59999999999999998,2
|('entry_minny', 'entry_minny')|,1000,True,5.0,0.69444444444444442,2
|('entry_minny', 'entry_minny')|,1000,True,6.0,1.0,2
|('entry_minny', 'entry_minny')|,1000,True,7.0,0.625,2
|('entry_minny', 'entry_minny')|,1000,True,8.0,0.66666666666666663,3
|('entry_minny', 'entry_minny')|,1000,True,9.0,0.72727272727272729,2
|('entry_minny', 'entry_minny')|,1000,True,10.0,0.23076923076923078,1
|('entry_minny', 'entry_minny')|,1000,True,11.0,0.44999999999999996,2
|('entry_minny', 'entry_minny')|,1000,True,12.0,0.31666666666666665,3
|('entry_minny', 'entry_minny')|,1000,True,14.0,0.59999999999999998,2
|('entry_minny', 'entry_minny')|,1000,True,15.0,0.41538461538461535,2
|('entry_minny', 'entry_minny')|,2000,True,0.0,0.38636363636363635,2
|('entry_minny', 'entry_minny')|,2000,True,1.0,0.68666560712015268,11
|('entry_minny', 'entry_minny')|,2000,True,2.0,1.0,1
|('entry_minny', 'entry_minny')|,2000,True,3.0,0.19230769230769229,1
|('entry_minny', 'entry_minny')|,2000,True,4.0,0.32954545454545453,3
|('entry_minny', 'entry_minny')|,2000,True,5.0,0.25,1
|('entry_minny', 'entry_minny')|,2000,True,6.0,1.0,1
|('entry_minny', 'entry_minny')|,2000,True,11.0,0.19230769230769229,1
|('entry_minny', 'entry_minny')|,2000,True,12.0,0.625,2
|('entry_minny', 'entry_minny')|,2000,True,14.0,0.45454545454545447,1
|('entry_minny', 'entry_minny')|,2000,True,15.0,0.67307692307692313,2
|('entry_minny', 'entry_minny')|,3000,True,8.0,0.81818181818181823,3
|('entry_minny', 'entry_minny')|,3000,True,1.0,0.9631578947368421,10
|('entry_minny', 'entry_minny')|,3000,True,2.0,0.36842105263157893,1
|('entry_minny', 'entry_minny')|,3000,True,5.0,1.0,1
