LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
|('entry_minny', 'entry_micky')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,100,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,500,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,1000,True,0.0,0.5,1
|('exit_goofy', 'exit_donald')|,1000,True,1.0,0.5,1
|('exit_goofy', 'exit_donald')|,1000,True,2.0,0.75,2
|('exit_goofy', 'exit_donald')|,1000,True,3.0,0.83333333333333337,3
|('exit_goofy', 'exit_donald')|,1000,True,6.0,1.0,1
|('exit_goofy', 'exit_donald')|,1000,True,7.0,0.5,1
|('exit_goofy', 'exit_donald')|,1000,True,9.0,1.0,1
|('exit_goofy', 'exit_donald')|,1000,True,12.0,0.75,2
|('exit_goofy', 'exit_donald')|,1000,True,13.0,1.0,1
|('exit_goofy', 'exit_donald')|,1000,True,15.0,1.0,1
|('exit_goofy', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,5000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,100,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,500,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,1000,True,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,2000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,3000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,100,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,500,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,1000,True,1.0,0.6333333333333333,3
|('exit_donald', 'exit_goofy')|,1000,True,4.0,0.75,2
|('exit_donald', 'exit_goofy')|,1000,True,6.0,1.0,1
|('exit_donald', 'exit_goofy')|,1000,True,7.0,1.0,1
|('exit_donald', 'exit_goofy')|,1000,True,8.0,1.0,3
|('exit_donald', 'exit_goofy')|,1000,True,12.0,0.59999999999999998,1
|('exit_donald', 'exit_goofy')|,1000,True,13.0,1.0,1
|('exit_donald', 'exit_goofy')|,1000,True,14.0,1.0,1
|('exit_donald', 'exit_goofy')|,1000,True,15.0,1.0,1
|('exit_donald', 'exit_goofy')|,2000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,3000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,5000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,100,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,500,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,1000,True,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,5000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,100,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,500,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,1000,True,8.0,1.0,1
|('exit_daisy', 'exit_donald')|,1000,True,13.0,1.0,1
|('exit_daisy', 'exit_donald')|,1000,True,15.0,1.0,1
|('exit_daisy', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,5000,False,0.0,0.0,0.0
