PROB,LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
0.01,|('entry_minny', 'entry_micky')|,500,True,1.0,0.2592592592592593,1
0.01,|('entry_minny', 'entry_micky')|,500,True,2.0,0.61882716049382713,3
0.01,|('entry_minny', 'entry_micky')|,500,True,4.0,0.25,1
0.01,|('entry_minny', 'entry_micky')|,500,True,6.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,500,True,9.0,0.18750000000000003,1
0.01,|('entry_minny', 'entry_micky')|,500,True,11.0,0.62962962962962965,2
0.01,|('entry_minny', 'entry_micky')|,1000,True,10.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,1000,True,14.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,2000,True,0.0,0.27272727272727271,1
0.01,|('entry_minny', 'entry_micky')|,2000,True,1.0,0.45454545454545453,1
0.01,|('entry_minny', 'entry_micky')|,2000,True,4.0,0.27272727272727271,1
0.01,|('entry_minny', 'entry_micky')|,2000,True,13.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,3000,True,0.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,3000,True,9.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,3000,True,5.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,3000,True,15.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,4000,True,1.0,0.5,1
0.01,|('entry_minny', 'entry_micky')|,4000,True,4.0,1.0,2
0.01,|('entry_minny', 'entry_micky')|,4000,True,12.0,0.40000000000000002,2
0.01,|('entry_minny', 'entry_micky')|,4000,True,13.0,0.29999999999999999,1
0.01,|('entry_minny', 'entry_micky')|,4000,True,14.0,0.20000000000000001,1
0.01,|('entry_minny', 'entry_micky')|,4000,True,15.0,0.20000000000000001,1
0.01,|('entry_minny', 'entry_micky')|,5000,True,0.0,1.0,1
0.01,|('entry_minny', 'entry_micky')|,5000,True,1.0,0.41666666666666669,1
0.01,|('entry_minny', 'entry_micky')|,5000,True,10.0,0.5,1
0.01,|('entry_minny', 'entry_micky')|,5000,True,5.0,0.58333333333333337,1
0.01,|('entry_minny', 'entry_micky')|,5000,True,15.0,0.5,1
0.01,|('exit_daisy', 'entry_micky')|,100,True,12.0,1.0,1
0.01,|('exit_daisy', 'entry_micky')|,500,True,1.0,1.0,1
0.01,|('exit_daisy', 'entry_micky')|,500,True,9.0,1.0,1
0.01,|('exit_daisy', 'entry_micky')|,500,True,5.0,1.0,1
0.01,|('exit_daisy', 'entry_micky')|,500,True,7.0,1.0,1
0.01,|('exit_daisy', 'entry_micky')|,1000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_micky')|,2000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_micky')|,3000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_micky')|,4000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_micky')|,5000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,100,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,500,True,0.0,0.0,0.0
